Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.005147,5.9588E-09,0.034934,0,0,0,1.8278,0.0020831,2.5979E-11,2.027E-14,0.0016842,3.8168E-14,0.0032646,0,0,0,0,0,0,package://Mini Assembly R6 Assembly Type/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Mini Assembly R6 Assembly Type/meshes/base_link.STL,,Base Link 0-1,Base Coordinate System,Axis1 <Link 1-1>,J1,revolute,0,0,0.075121,0,0,0,base_link,0,0,1,10,50,3.14,-3.14,,,,,,,,
"Link 1 ",2.1653E-11,-9.0996E-11,2.7473E-10,0,0,0,0.28916,0.00011541,1.4857E-13,7.1807E-13,0.00012866,-4.2388E-12,0.00011494,0,0,0,0,0,0,package://Mini Assembly R6 Assembly Type/meshes/Link 1 .STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Mini Assembly R6 Assembly Type/meshes/Link 1 .STL,,Link 1-1,Link 1 C1,J1 AXIS,J1,revolute,0,0,0.075121,0,0,0,base_link,0,0,-1,10,50,3.14,-3.14,,,,,,,,
